state,district,year,quarter,transaction_type,transaction_count,transaction_amount
Arunachal Pradesh,,2021,2,Insurance,204.0,224928.0
Arunachal Pradesh,,2021,3,Insurance,212.0,371051.0
Arunachal Pradesh,,2021,4,Insurance,320.0,598459.0
Arunachal Pradesh,,2022,1,Insurance,355.0,894107.0
Arunachal Pradesh,,2022,2,Insurance,564.0,1360231.0
Arunachal Pradesh,,2022,3,Insurance,510.0,1300304.0
Arunachal Pradesh,,2022,4,Insurance,613.0,1464572.0
Arunachal Pradesh,,2023,1,Insurance,606.0,1747475.0
Arunachal Pradesh,,2023,2,Insurance,696.0,2095988.0
Arunachal Pradesh,,2023,3,Insurance,718.0,1904786.0
Arunachal Pradesh,,2023,4,Insurance,809.0,2105408.0
Arunachal Pradesh,,2024,1,Insurance,1100.0,2419700.0
Arunachal Pradesh,,2024,2,Insurance,1147.0,2353015.0
Arunachal Pradesh,,2024,3,Insurance,842.0,1951385.0
Arunachal Pradesh,,2024,4,Insurance,999.0,2359472.0
Assam,,2020,2,Insurance,978.0,210034.0
Assam,,2020,3,Insurance,2206.0,599450.0
Assam,,2020,4,Insurance,2413.0,1806801.0
Assam,,2021,1,Insurance,3167.0,2334419.0
Assam,,2021,2,Insurance,3265.0,3008122.0
Assam,,2021,3,Insurance,4495.0,6010865.0
Assam,,2021,4,Insurance,8622.0,13962068.0
Assam,,2022,1,Insurance,16230.0,27447766.0
Assam,,2022,2,Insurance,9228.0,15357811.0
Assam,,2022,3,Insurance,14149.0,22543564.0
Assam,,2022,4,Insurance,18826.0,29239168.0
Assam,,2023,1,Insurance,22100.0,36963888.0
Assam,,2023,2,Insurance,16475.0,28368139.0
Assam,,2023,3,Insurance,22593.0,35618158.0
Assam,,2023,4,Insurance,23168.0,38731734.0
Assam,,2024,1,Insurance,33097.0,48107248.0
Assam,,2024,2,Insurance,22368.0,34796603.0
Assam,,2024,3,Insurance,17633.0,31388971.0
Assam,,2024,4,Insurance,21805.0,35336229.0
Bihar,,2020,2,Insurance,2816.0,595621.0
Bihar,,2020,3,Insurance,9733.0,2161102.0
Bihar,,2020,4,Insurance,9913.0,7860932.0
Bihar,,2021,1,Insurance,12554.0,8796619.0
Bihar,,2021,2,Insurance,14301.0,13301581.0
Bihar,,2021,3,Insurance,18030.0,18234941.0
Bihar,,2021,4,Insurance,22456.0,27313813.0
Bihar,,2022,1,Insurance,20253.0,27755736.0
Bihar,,2022,2,Insurance,21892.0,28212833.0
Bihar,,2022,3,Insurance,28511.0,34704251.0
Bihar,,2022,4,Insurance,33895.0,43914519.0
Bihar,,2023,1,Insurance,26929.0,38746711.0
Bihar,,2023,2,Insurance,29212.0,40354886.0
Bihar,,2023,3,Insurance,36550.0,45832355.0
Bihar,,2023,4,Insurance,41447.0,57624322.0
Bihar,,2024,1,Insurance,51592.0,63844442.0
Bihar,,2024,2,Insurance,49101.0,65285065.0
Bihar,,2024,3,Insurance,44745.0,62777286.0
Bihar,,2024,4,Insurance,62662.0,83739800.0
Chandigarh,,2020,2,Insurance,149.0,29537.0
Chandigarh,,2020,3,Insurance,264.0,70969.0
Chandigarh,,2020,4,Insurance,200.0,153341.0
Chandigarh,,2021,1,Insurance,338.0,238576.0
Chandigarh,,2021,2,Insurance,378.0,310943.0
Chandigarh,,2021,3,Insurance,494.0,469634.0
Chandigarh,,2021,4,Insurance,710.0,835813.0
Chandigarh,,2022,1,Insurance,792.0,1150932.0
Chandigarh,,2022,2,Insurance,1330.0,1874959.0
Chandigarh,,2022,3,Insurance,1533.0,1998439.0
Chandigarh,,2022,4,Insurance,1403.0,2024528.0
Chandigarh,,2023,1,Insurance,1520.0,2415574.0
Chandigarh,,2023,2,Insurance,1704.0,2501107.0
Chandigarh,,2023,3,Insurance,1883.0,2660630.0
Chandigarh,,2023,4,Insurance,1767.0,3053934.0
Chandigarh,,2024,1,Insurance,1730.0,3143984.0
Chandigarh,,2024,2,Insurance,1798.0,3177315.0
Chandigarh,,2024,3,Insurance,1991.0,3445738.0
Chandigarh,,2024,4,Insurance,2095.0,3729932.0
Chhattisgarh,,2020,2,Insurance,1346.0,279005.0
Chhattisgarh,,2020,3,Insurance,4702.0,1393656.0
Chhattisgarh,,2020,4,Insurance,3757.0,2249901.0
Chhattisgarh,,2021,1,Insurance,4712.0,2620468.0
Chhattisgarh,,2021,2,Insurance,5055.0,3813417.0
Chhattisgarh,,2021,3,Insurance,4676.0,3568837.0
Chhattisgarh,,2021,4,Insurance,6029.0,8229039.0
Chhattisgarh,,2022,1,Insurance,6612.0,10139190.0
Chhattisgarh,,2022,2,Insurance,7008.0,10119964.0
Chhattisgarh,,2022,3,Insurance,8849.0,12119470.0
Chhattisgarh,,2022,4,Insurance,11994.0,18137856.0
Chhattisgarh,,2023,1,Insurance,10460.0,16577191.0
Chhattisgarh,,2023,2,Insurance,10514.0,16389610.0
Chhattisgarh,,2023,3,Insurance,11927.0,17838382.0
Chhattisgarh,,2023,4,Insurance,17300.0,29704673.0
Chhattisgarh,,2024,1,Insurance,19579.0,30083259.0
Chhattisgarh,,2024,2,Insurance,15724.0,25935743.0
Chhattisgarh,,2024,3,Insurance,16550.0,27724060.0
Chhattisgarh,,2024,4,Insurance,22723.0,37421165.0
Dadra & Nagar Haveli & Daman & Diu,,2020,2,Insurance,651.0,101029.0
Dadra & Nagar Haveli & Daman & Diu,,2020,3,Insurance,257.0,65504.0
Dadra & Nagar Haveli & Daman & Diu,,2020,4,Insurance,232.0,149513.0
Dadra & Nagar Haveli & Daman & Diu,,2021,1,Insurance,467.0,285691.0
Dadra & Nagar Haveli & Daman & Diu,,2021,2,Insurance,368.0,275638.0
Dadra & Nagar Haveli & Daman & Diu,,2021,3,Insurance,360.0,273596.0
Dadra & Nagar Haveli & Daman & Diu,,2021,4,Insurance,421.0,425384.0
Dadra & Nagar Haveli & Daman & Diu,,2022,1,Insurance,493.0,720741.0
Dadra & Nagar Haveli & Daman & Diu,,2022,2,Insurance,438.0,686857.0
Dadra & Nagar Haveli & Daman & Diu,,2022,3,Insurance,707.0,983776.0
Dadra & Nagar Haveli & Daman & Diu,,2022,4,Insurance,871.0,1272628.0
Dadra & Nagar Haveli & Daman & Diu,,2023,1,Insurance,799.0,1215168.0
Dadra & Nagar Haveli & Daman & Diu,,2023,2,Insurance,694.0,1058753.0
Dadra & Nagar Haveli & Daman & Diu,,2023,3,Insurance,969.0,1333103.0
Dadra & Nagar Haveli & Daman & Diu,,2023,4,Insurance,1207.0,1973867.0
Dadra & Nagar Haveli & Daman & Diu,,2024,1,Insurance,1295.0,1908509.0
Dadra & Nagar Haveli & Daman & Diu,,2024,2,Insurance,1008.0,1367259.0
Dadra & Nagar Haveli & Daman & Diu,,2024,3,Insurance,1052.0,1602869.0
Dadra & Nagar Haveli & Daman & Diu,,2024,4,Insurance,1503.0,2292529.0
Delhi,,2020,2,Insurance,11716.0,1897480.0
Delhi,,2020,3,Insurance,7588.0,1927285.0
Delhi,,2020,4,Insurance,9725.0,8045442.0
Delhi,,2021,1,Insurance,12822.0,9655261.0
Delhi,,2021,2,Insurance,13292.0,10840929.0
Delhi,,2021,3,Insurance,16679.0,15007079.0
Delhi,,2021,4,Insurance,34251.0,36578331.0
Delhi,,2022,1,Insurance,28232.0,35442069.0
Delhi,,2022,2,Insurance,26378.0,31787281.0
Delhi,,2022,3,Insurance,35944.0,41570160.0
Delhi,,2022,4,Insurance,48908.0,60603173.0
Delhi,,2023,1,Insurance,45821.0,61040038.0
Delhi,,2023,2,Insurance,41358.0,54951108.0
Delhi,,2023,3,Insurance,47113.0,58878500.0
Delhi,,2023,4,Insurance,56336.0,77332401.0
Delhi,,2024,1,Insurance,53050.0,76232346.0
Delhi,,2024,2,Insurance,46189.0,68046072.0
Delhi,,2024,3,Insurance,49150.0,71139489.0
Delhi,,2024,4,Insurance,67962.0,94390728.0
Goa,,2020,2,Insurance,341.0,71100.0
Goa,,2020,3,Insurance,683.0,196864.0
Goa,,2020,4,Insurance,614.0,682364.0
Goa,,2021,1,Insurance,879.0,827384.0
Goa,,2021,2,Insurance,1016.0,1028339.0
Goa,,2021,3,Insurance,1214.0,1385986.0
Goa,,2021,4,Insurance,2087.0,2737316.0
Goa,,2022,1,Insurance,2634.0,3865245.0
Goa,,2022,2,Insurance,3524.0,5093510.0
Goa,,2022,3,Insurance,3157.0,4142108.0
Goa,,2022,4,Insurance,4388.0,6190669.0
Goa,,2023,1,Insurance,4097.0,5859549.0
Goa,,2023,2,Insurance,4166.0,5930801.0
Goa,,2023,3,Insurance,3927.0,5646054.0
Goa,,2023,4,Insurance,4883.0,7411001.0
Goa,,2024,1,Insurance,5225.0,7528093.0
Goa,,2024,2,Insurance,5021.0,7178558.0
Goa,,2024,3,Insurance,5354.0,8051690.0
Goa,,2024,4,Insurance,6662.0,9903374.0
Gujarat,,2020,2,Insurance,7697.0,1430591.0
Gujarat,,2020,3,Insurance,12525.0,3335812.0
Gujarat,,2020,4,Insurance,9990.0,6055037.0
Gujarat,,2021,1,Insurance,12673.0,7288104.0
Gujarat,,2021,2,Insurance,14676.0,10263998.0
Gujarat,,2021,3,Insurance,15348.0,12341903.0
Gujarat,,2021,4,Insurance,19142.0,23282921.0
Gujarat,,2022,1,Insurance,22221.0,29953433.0
Gujarat,,2022,2,Insurance,25381.0,32090965.0
Gujarat,,2022,3,Insurance,31302.0,37557227.0
Gujarat,,2022,4,Insurance,36418.0,50629325.0
Gujarat,,2023,1,Insurance,32600.0,46937694.0
Gujarat,,2023,2,Insurance,32484.0,46254095.0
Gujarat,,2023,3,Insurance,51049.0,65768085.0
Gujarat,,2023,4,Insurance,41128.0,66735446.0
Gujarat,,2024,1,Insurance,44665.0,62633910.0
Gujarat,,2024,2,Insurance,44007.0,63866463.0
Gujarat,,2024,3,Insurance,46763.0,70950327.0
Gujarat,,2024,4,Insurance,62526.0,91858105.0
Haryana,,2020,2,Insurance,6321.0,1179814.0
Haryana,,2020,3,Insurance,7139.0,1884868.0
Haryana,,2020,4,Insurance,8283.0,5974278.0
Haryana,,2021,1,Insurance,11038.0,7297880.0
Haryana,,2021,2,Insurance,12516.0,11272453.0
Haryana,,2021,3,Insurance,14163.0,13215898.0
Haryana,,2021,4,Insurance,19489.0,25885838.0
Haryana,,2022,1,Insurance,22783.0,32526943.0
Haryana,,2022,2,Insurance,25352.0,33759068.0
Haryana,,2022,3,Insurance,35346.0,45402800.0
Haryana,,2022,4,Insurance,37971.0,56627115.0
Haryana,,2023,1,Insurance,37287.0,61127194.0
Haryana,,2023,2,Insurance,40710.0,62186066.0
Haryana,,2023,3,Insurance,42815.0,61782311.0
Haryana,,2023,4,Insurance,47506.0,80747159.0
Haryana,,2024,1,Insurance,50391.0,81816509.0
Haryana,,2024,2,Insurance,46085.0,74779879.0
Haryana,,2024,3,Insurance,49735.0,79198642.0
Haryana,,2024,4,Insurance,58808.0,94316512.0
Himachal Pradesh,,2020,2,Insurance,392.0,77936.0
Himachal Pradesh,,2020,3,Insurance,531.0,165559.0
Himachal Pradesh,,2020,4,Insurance,710.0,630966.0
Himachal Pradesh,,2021,1,Insurance,1064.0,906492.0
Himachal Pradesh,,2021,2,Insurance,1210.0,1402338.0
Himachal Pradesh,,2021,3,Insurance,1759.0,2444545.0
Himachal Pradesh,,2021,4,Insurance,2474.0,4667661.0
Himachal Pradesh,,2022,1,Insurance,2768.0,5234739.0
Himachal Pradesh,,2022,2,Insurance,2831.0,5371078.0
Himachal Pradesh,,2022,3,Insurance,3641.0,6161692.0
Himachal Pradesh,,2022,4,Insurance,4565.0,9060436.0
Himachal Pradesh,,2023,1,Insurance,3909.0,7826133.0
Himachal Pradesh,,2023,2,Insurance,4197.0,8499425.0
Himachal Pradesh,,2023,3,Insurance,3935.0,7869767.0
Himachal Pradesh,,2023,4,Insurance,5211.0,11898824.0
Himachal Pradesh,,2024,1,Insurance,5430.0,10433254.0
Himachal Pradesh,,2024,2,Insurance,5194.0,10008705.0
Himachal Pradesh,,2024,3,Insurance,5272.0,10538999.0
Himachal Pradesh,,2024,4,Insurance,6697.0,14090523.0
Jammu & Kashmir,,2020,2,Insurance,206.0,48484.0
Jammu & Kashmir,,2020,3,Insurance,441.0,133339.0
Jammu & Kashmir,,2020,4,Insurance,647.0,734861.0
Jammu & Kashmir,,2021,1,Insurance,1105.0,1546288.0
Jammu & Kashmir,,2021,2,Insurance,1197.0,1832089.0
Jammu & Kashmir,,2021,3,Insurance,1452.0,2139133.0
Jammu & Kashmir,,2021,4,Insurance,3113.0,5223317.0
Jammu & Kashmir,,2022,1,Insurance,3584.0,7244267.0
Jammu & Kashmir,,2022,2,Insurance,4071.0,7729792.0
Jammu & Kashmir,,2022,3,Insurance,4794.0,8281826.0
Jammu & Kashmir,,2022,4,Insurance,5031.0,10111183.0
Jammu & Kashmir,,2023,1,Insurance,4555.0,10275877.0
Jammu & Kashmir,,2023,2,Insurance,5262.0,10974839.0
Jammu & Kashmir,,2023,3,Insurance,5453.0,10975874.0
Jammu & Kashmir,,2023,4,Insurance,6264.0,13932309.0
Jammu & Kashmir,,2024,1,Insurance,7313.0,14695182.0
Jammu & Kashmir,,2024,2,Insurance,7397.0,14237707.0
Jammu & Kashmir,,2024,3,Insurance,7597.0,15554635.0
Jammu & Kashmir,,2024,4,Insurance,8893.0,18252110.0
Jharkhand,,2020,2,Insurance,2063.0,405031.0
Jharkhand,,2020,3,Insurance,5368.0,1349934.0
Jharkhand,,2020,4,Insurance,3659.0,2857024.0
Jharkhand,,2021,1,Insurance,4879.0,3274851.0
Jharkhand,,2021,2,Insurance,5180.0,5084230.0
Jharkhand,,2021,3,Insurance,6794.0,7046048.0
Jharkhand,,2021,4,Insurance,8465.0,11190423.0
Jharkhand,,2022,1,Insurance,9373.0,13819466.0
Jharkhand,,2022,2,Insurance,9477.0,13464840.0
Jharkhand,,2022,3,Insurance,14388.0,18156857.0
Jharkhand,,2022,4,Insurance,16779.0,23147805.0
Jharkhand,,2023,1,Insurance,16108.0,23823406.0
Jharkhand,,2023,2,Insurance,16662.0,23216215.0
Jharkhand,,2023,3,Insurance,19478.0,25165702.0
Jharkhand,,2023,4,Insurance,22398.0,33484644.0
Jharkhand,,2024,1,Insurance,24824.0,34332990.0
Jharkhand,,2024,2,Insurance,22224.0,32245129.0
Jharkhand,,2024,3,Insurance,23629.0,34353146.0
Jharkhand,,2024,4,Insurance,29079.0,42253614.0
Karnataka,,2020,2,Insurance,27358.0,4794150.0
Karnataka,,2020,3,Insurance,53701.0,12407394.0
Karnataka,,2020,4,Insurance,31747.0,26814968.0
Karnataka,,2021,1,Insurance,37595.0,30183325.0
Karnataka,,2021,2,Insurance,40969.0,39501006.0
Karnataka,,2021,3,Insurance,47468.0,48078366.0
Karnataka,,2021,4,Insurance,74436.0,90723288.0
Karnataka,,2022,1,Insurance,95640.0,130733580.0
Karnataka,,2022,2,Insurance,93385.0,123228632.0
Karnataka,,2022,3,Insurance,110273.0,144605784.0
Karnataka,,2022,4,Insurance,133971.0,185063287.0
Karnataka,,2023,1,Insurance,127376.0,186543426.0
Karnataka,,2023,2,Insurance,117232.0,175704013.0
Karnataka,,2023,3,Insurance,139699.0,199448538.0
Karnataka,,2023,4,Insurance,156076.0,248056311.0
Karnataka,,2024,1,Insurance,169357.0,264708700.0
Karnataka,,2024,2,Insurance,142599.0,239304982.0
Karnataka,,2024,3,Insurance,174990.0,287393291.0
Karnataka,,2024,4,Insurance,183532.0,305861806.0
Kerala,,2020,2,Insurance,1588.0,360216.0
Kerala,,2020,3,Insurance,8811.0,2830361.0
Kerala,,2020,4,Insurance,5479.0,4445525.0
Kerala,,2021,1,Insurance,5731.0,5040506.0
Kerala,,2021,2,Insurance,9530.0,9676588.0
Kerala,,2021,3,Insurance,10926.0,13255646.0
Kerala,,2021,4,Insurance,19199.0,31260319.0
Kerala,,2022,1,Insurance,37110.0,64172190.0
Kerala,,2022,2,Insurance,35667.0,59920203.0
Kerala,,2022,3,Insurance,54587.0,85390924.0
Kerala,,2022,4,Insurance,65563.0,103982997.0
Kerala,,2023,1,Insurance,62377.0,101786828.0
Kerala,,2023,2,Insurance,61032.0,100620604.0
Kerala,,2023,3,Insurance,66059.0,110021582.0
Kerala,,2023,4,Insurance,73543.0,121905046.0
Kerala,,2024,1,Insurance,73106.0,115101791.0
Kerala,,2024,2,Insurance,65271.0,108142369.0
Kerala,,2024,3,Insurance,79123.0,131721699.0
Kerala,,2024,4,Insurance,89533.0,144083113.0
Ladakh,,2020,2,Insurance,14.0,2538.0
Ladakh,,2020,3,Insurance,33.0,10260.0
Ladakh,,2020,4,Insurance,27.0,34206.0
Ladakh,,2021,1,Insurance,32.0,34530.0
Ladakh,,2021,2,Insurance,46.0,86251.0
Ladakh,,2021,3,Insurance,192.0,174052.0
Ladakh,,2021,4,Insurance,76.0,195966.0
Ladakh,,2022,1,Insurance,75.0,193935.0
Ladakh,,2022,2,Insurance,113.0,269446.0
Ladakh,,2022,3,Insurance,137.0,369742.0
Ladakh,,2022,4,Insurance,162.0,410091.0
Ladakh,,2023,1,Insurance,161.0,495736.0
Ladakh,,2023,2,Insurance,215.0,635831.0
Ladakh,,2023,3,Insurance,232.0,649027.0
Ladakh,,2023,4,Insurance,242.0,718967.0
Ladakh,,2024,1,Insurance,291.0,614435.0
Ladakh,,2024,2,Insurance,415.0,964349.0
Ladakh,,2024,3,Insurance,446.0,978637.0
Ladakh,,2024,4,Insurance,429.0,970334.0
Lakshadweep,,2020,3,Insurance,4.0,1199.0
Lakshadweep,,2021,1,Insurance,4.0,5225.0
Lakshadweep,,2021,2,Insurance,5.0,6962.0
Lakshadweep,,2021,3,Insurance,19.0,16034.0
Lakshadweep,,2021,4,Insurance,11.0,17096.0
Lakshadweep,,2022,1,Insurance,27.0,34664.0
Lakshadweep,,2022,2,Insurance,18.0,27463.0
Lakshadweep,,2022,3,Insurance,38.0,41504.0
Lakshadweep,,2022,4,Insurance,15.0,27135.0
Lakshadweep,,2023,1,Insurance,26.0,30199.0
Lakshadweep,,2023,2,Insurance,15.0,38384.0
Lakshadweep,,2023,3,Insurance,12.0,12407.0
Lakshadweep,,2023,4,Insurance,53.0,78346.0
Lakshadweep,,2024,1,Insurance,15.0,12935.0
Lakshadweep,,2024,2,Insurance,26.0,33630.0
Lakshadweep,,2024,3,Insurance,49.0,55312.0
Lakshadweep,,2024,4,Insurance,159.0,185542.0
Madhya Pradesh,,2020,2,Insurance,6283.0,1198701.0
Madhya Pradesh,,2020,3,Insurance,14476.0,3496126.0
Madhya Pradesh,,2020,4,Insurance,10653.0,4897124.0
Madhya Pradesh,,2021,1,Insurance,14427.0,5567927.0
Madhya Pradesh,,2021,2,Insurance,14803.0,9787391.0
Madhya Pradesh,,2021,3,Insurance,11990.0,7806258.0
Madhya Pradesh,,2021,4,Insurance,15069.0,17524432.0
Madhya Pradesh,,2022,1,Insurance,13791.0,19901462.0
Madhya Pradesh,,2022,2,Insurance,14629.0,20159098.0
Madhya Pradesh,,2022,3,Insurance,22733.0,29185118.0
Madhya Pradesh,,2022,4,Insurance,29234.0,42712883.0
Madhya Pradesh,,2023,1,Insurance,26393.0,45135679.0
Madhya Pradesh,,2023,2,Insurance,27027.0,44871764.0
Madhya Pradesh,,2023,3,Insurance,29300.0,46963348.0
Madhya Pradesh,,2023,4,Insurance,40784.0,73801070.0
Madhya Pradesh,,2024,1,Insurance,51223.0,85215982.0
Madhya Pradesh,,2024,2,Insurance,41429.0,73836667.0
Madhya Pradesh,,2024,3,Insurance,43248.0,77995668.0
Madhya Pradesh,,2024,4,Insurance,59688.0,101096769.0
Maharashtra,,2020,2,Insurance,39836.0,6879717.0
Maharashtra,,2020,3,Insurance,71662.0,19230156.0
Maharashtra,,2020,4,Insurance,44798.0,27113814.0
Maharashtra,,2021,1,Insurance,55792.0,33137753.0
Maharashtra,,2021,2,Insurance,70381.0,46763103.0
Maharashtra,,2021,3,Insurance,52268.0,41313307.0
Maharashtra,,2021,4,Insurance,82423.0,93262227.0
Maharashtra,,2022,1,Insurance,88015.0,117411928.0
Maharashtra,,2022,2,Insurance,80935.0,104603934.0
Maharashtra,,2022,3,Insurance,90958.0,113835208.0
Maharashtra,,2022,4,Insurance,125900.0,174915648.0
Maharashtra,,2023,1,Insurance,112174.0,166596248.0
Maharashtra,,2023,2,Insurance,102754.0,157303399.0
Maharashtra,,2023,3,Insurance,104872.0,151171882.0
Maharashtra,,2023,4,Insurance,136968.0,217657114.0
Maharashtra,,2024,1,Insurance,149016.0,224725389.0
Maharashtra,,2024,2,Insurance,118933.0,198945046.0
Maharashtra,,2024,3,Insurance,119776.0,201319952.0
Maharashtra,,2024,4,Insurance,168078.0,266942711.0
Manipur,,2020,2,Insurance,55.0,12554.0
Manipur,,2020,3,Insurance,134.0,45164.0
Manipur,,2020,4,Insurance,90.0,49057.0
Manipur,,2021,1,Insurance,136.0,72254.0
Manipur,,2021,2,Insurance,127.0,81332.0
Manipur,,2021,3,Insurance,111.0,133016.0
Manipur,,2021,4,Insurance,145.0,271789.0
Manipur,,2022,1,Insurance,177.0,517854.0
Manipur,,2022,2,Insurance,218.0,553649.0
Manipur,,2022,3,Insurance,200.0,403213.0
Manipur,,2022,4,Insurance,271.0,620655.0
Manipur,,2023,1,Insurance,222.0,632084.0
Manipur,,2023,2,Insurance,123.0,341671.0
Manipur,,2023,3,Insurance,76.0,193021.0
Manipur,,2023,4,Insurance,225.0,476626.0
Manipur,,2024,1,Insurance,385.0,685052.0
Manipur,,2024,2,Insurance,346.0,647411.0
Manipur,,2024,3,Insurance,285.0,587893.0
Manipur,,2024,4,Insurance,405.0,826159.0
Meghalaya,,2020,2,Insurance,41.0,8829.0
Meghalaya,,2020,3,Insurance,112.0,33615.0
Meghalaya,,2020,4,Insurance,92.0,71029.0
Meghalaya,,2021,1,Insurance,107.0,128776.0
Meghalaya,,2021,2,Insurance,139.0,148434.0
Meghalaya,,2021,3,Insurance,139.0,214554.0
Meghalaya,,2021,4,Insurance,263.0,451612.0
Meghalaya,,2022,1,Insurance,337.0,729211.0
Meghalaya,,2022,2,Insurance,379.0,789094.0
Meghalaya,,2022,3,Insurance,600.0,1039491.0
Meghalaya,,2022,4,Insurance,627.0,1189529.0
Meghalaya,,2023,1,Insurance,562.0,1187523.0
Meghalaya,,2023,2,Insurance,730.0,1551577.0
Meghalaya,,2023,3,Insurance,809.0,1728076.0
Meghalaya,,2023,4,Insurance,806.0,1843364.0
Meghalaya,,2024,1,Insurance,1030.0,1987107.0
Meghalaya,,2024,2,Insurance,1235.0,2318007.0
Meghalaya,,2024,3,Insurance,1140.0,2443878.0
Meghalaya,,2024,4,Insurance,1313.0,2493656.0
Mizoram,,2020,2,Insurance,31.0,7322.0
Mizoram,,2020,3,Insurance,74.0,24691.0
Mizoram,,2020,4,Insurance,81.0,119124.0
Mizoram,,2021,1,Insurance,415.0,302841.0
Mizoram,,2021,2,Insurance,187.0,124805.0
Mizoram,,2021,3,Insurance,81.0,83641.0
Mizoram,,2021,4,Insurance,100.0,175847.0
Mizoram,,2022,1,Insurance,85.0,189428.0
Mizoram,,2022,2,Insurance,76.0,115090.0
Mizoram,,2022,3,Insurance,310.0,471306.0
Mizoram,,2022,4,Insurance,350.0,612551.0
Mizoram,,2023,1,Insurance,171.0,326688.0
Mizoram,,2023,2,Insurance,119.0,232928.0
Mizoram,,2023,3,Insurance,166.0,271799.0
Mizoram,,2023,4,Insurance,312.0,557950.0
Mizoram,,2024,1,Insurance,277.0,427693.0
Mizoram,,2024,2,Insurance,214.0,331455.0
Mizoram,,2024,3,Insurance,186.0,275746.0
Mizoram,,2024,4,Insurance,489.0,811687.0
Nagaland,,2020,2,Insurance,41.0,9791.0
Nagaland,,2020,3,Insurance,89.0,20798.0
Nagaland,,2020,4,Insurance,62.0,38836.0
Nagaland,,2021,1,Insurance,79.0,42973.0
Nagaland,,2021,2,Insurance,85.0,139479.0
Nagaland,,2021,3,Insurance,91.0,123643.0
Nagaland,,2021,4,Insurance,183.0,341424.0
